,zspec,Abs_u,Abs_g,Abs_r,Abs_i,Abs_z,app_PAU-4550_o_tot_ext,app_PAU-4650_o_tot_ext,app_PAU-4750_o_tot_ext,app_PAU-4850_o_tot_ext,app_PAU-4950_o_tot_ext,app_PAU-5050_o_tot_ext,app_PAU-5150_o_tot_ext,app_PAU-5250_o_tot_ext,app_PAU-5350_o_tot_ext,app_PAU-5450_o_tot_ext,app_PAU-5550_o_tot_ext,app_PAU-5650_o_tot_ext,app_PAU-5750_o_tot_ext,app_PAU-5850_o_tot_ext,app_PAU-5950_o_tot_ext,app_PAU-6050_o_tot_ext,app_PAU-6150_o_tot_ext,app_PAU-6250_o_tot_ext,app_PAU-6350_o_tot_ext,app_PAU-6450_o_tot_ext,app_PAU-6550_o_tot_ext,app_PAU-6650_o_tot_ext,app_PAU-6750_o_tot_ext,app_PAU-6850_o_tot_ext,app_PAU-6950_o_tot_ext,app_PAU-7050_o_tot_ext,app_PAU-7150_o_tot_ext,app_PAU-7250_o_tot_ext,app_PAU-7350_o_tot_ext,app_PAU-7450_o_tot_ext,app_PAU-7550_o_tot_ext,app_PAU-7650_o_tot_ext,app_PAU-7750_o_tot_ext,app_PAU-7850_o_tot_ext,app_PAU-7950_o_tot_ext,app_PAU-8050_o_tot_ext,app_PAU-8150_o_tot_ext,app_PAU-8250_o_tot_ext,app_PAU-8350_o_tot_ext,app_PAU-8450_o_tot_ext
0,1.9743927,-21.535093,-21.710732,-21.795616,-21.951914,-22.095652,22.761215,22.803911,22.658838,22.770935,22.750147,22.759949,22.784004,22.788506,22.802485,22.86441,22.923773,22.972889,23.007998,23.02307,23.044847,23.074228,23.100424,23.121702,23.140776,23.154541,23.161463,23.024502,22.897322,23.015783,22.975609,22.841812,22.805801,22.767155,22.74339,22.733738,22.724352,22.703074,22.688637,22.672579,22.6603,22.659344,22.662127,22.664722,22.65798,22.650887
1,1.963022,-20.779924,-21.114252,-21.160503,-21.269876,-21.3494,23.852818,23.839792,23.76701,23.76146,23.743448,23.752405,23.758736,23.729048,23.706743,23.779856,23.795055,23.804256,23.793978,23.769548,23.782642,23.791107,23.792887,23.801208,23.811207,23.819893,23.842163,23.857466,23.832544,23.884512,23.908287,23.892586,23.863914,23.824108,23.798836,23.795542,23.794725,23.7484,23.735933,23.690712,23.681572,23.687702,23.700188,23.712454,23.676567,23.662476
2,1.9728303,-21.91032,-22.705938,-22.927382,-23.061653,-23.160053,25.792274,25.536173,25.263226,25.273317,25.143032,24.89182,24.725948,24.589493,24.45695,24.491209,24.452759,24.369692,24.31351,24.19292,24.199827,24.185331,24.078663,24.056684,24.09158,24.079584,24.063982,24.083252,24.06998,24.122887,24.249628,24.320425,24.258512,24.078709,24.010439,24.069458,24.079859,23.993526,23.908487,23.71676,23.604773,23.630302,23.694328,23.86076,23.707499,23.551876
3,1.9854867,-22.256186,-22.503342,-22.569027,-22.68854,-22.806183,21.932337,22.012823,21.879097,21.745382,21.720488,21.891506,21.805254,21.918175,21.914043,21.94209,21.986055,22.004396,22.022478,22.0137,22.007618,22.016268,22.02289,22.023333,22.026873,22.028875,22.02689,22.033306,22.033768,22.043167,22.080381,22.082317,22.072561,22.061413,22.054157,22.061205,22.003906,21.875008,21.8629,21.857475,21.845345,21.85359,21.866137,21.881964,21.885323,21.880405
4,1.9632459,-21.920359,-22.093256,-22.076935,-22.170883,-22.290787,22.304302,22.285782,22.10785,22.02525,22.004368,22.02718,22.039106,22.032888,22.032768,22.089579,22.114107,22.14423,22.14928,22.137562,22.143332,22.156296,22.16129,22.160934,22.16556,22.158716,22.158463,22.15987,22.148554,22.184942,22.191326,22.175875,22.163956,22.372602,22.177025,22.156448,22.377016,22.377398,22.37466,22.35682,22.360794,22.371807,22.382637,22.392973,22.384264,22.383812
5,1.9780326,-21.387802,-21.649935,-21.676176,-21.749666,-21.825808,22.913465,22.935612,22.838259,22.790623,22.763252,22.762533,22.7891,22.776524,22.761164,22.800766,22.84564,22.864897,22.871986,22.848833,22.838802,22.846563,22.854717,22.857124,22.859161,22.862867,22.874554,22.88758,22.88287,22.901173,22.93542,22.930607,22.917604,22.902262,22.892069,22.894735,22.897984,22.885004,22.870007,22.853838,22.839195,22.846203,22.859118,22.874132,22.869822,22.861938
6,1.9833715,-21.592455,-21.938269,-22.058,-22.233429,-22.369202,23.186123,23.207737,23.095724,22.955479,22.92901,22.925297,22.952976,22.939663,22.938221,22.992487,23.057074,23.090532,23.119951,23.123304,23.135387,23.16387,23.188263,23.20332,23.219124,23.229286,23.22943,23.224129,23.194223,23.179626,23.189089,23.154554,23.108635,23.057262,23.017227,22.998123,22.984446,22.953299,22.920101,22.893742,22.865248,22.86076,22.862534,22.864748,22.852776,22.835257
7,1.9831328,-20.961548,-21.447638,-21.59105,-21.74035,-21.839006,24.080185,24.10762,24.020802,23.992031,23.990728,23.975952,23.981659,23.949183,23.91797,23.956053,23.984797,23.983252,23.979713,23.955477,23.964333,23.982922,23.980944,23.989197,24.012487,24.026604,24.044558,24.065805,24.054708,24.067492,24.110493,24.113914,24.085234,24.028198,23.985,23.975437,23.970345,23.935703,23.899237,23.853119,23.812498,23.813393,23.826885,23.859129,23.83003,23.790468
8,1.9880257,-20.60165,-20.839064,-20.81044,-20.827272,-20.848331,23.723907,23.746843,23.695726,23.679325,23.670652,23.662798,23.689304,23.680258,23.664125,23.686611,23.7356,23.749731,23.761892,23.748024,23.74349,23.755894,23.766914,23.773584,23.781271,23.79099,23.80561,23.819323,23.814653,23.812496,23.845934,23.844519,23.828423,23.807539,23.78711,23.779648,23.77909,23.77009,23.747143,23.735605,23.7112,23.710178,23.719206,23.731903,23.729342,23.717783
9,1.9842622,-20.935848,-21.291468,-21.415045,-21.549044,-21.633434,23.432732,23.50463,23.393505,23.306873,23.29741,23.302618,23.324503,23.320667,23.32454,23.371511,23.421095,23.453106,23.478865,23.483898,23.497711,23.526146,23.551193,23.572498,23.59622,23.620222,23.647001,23.66025,23.648512,23.644007,23.65539,23.640863,23.616228,23.584412,23.562153,23.557701,23.554834,23.538164,23.519995,23.5028,23.480898,23.48192,23.490149,23.504313,23.496965,23.480711
10,1.9879546,-21.713776,-22.412605,-22.648945,-22.801498,-22.922142,24.368017,24.369087,24.242947,24.228798,24.228567,24.162283,24.135895,24.049397,23.958944,23.966032,23.97713,23.921284,23.880444,23.80596,23.78913,23.797276,23.74966,23.724314,23.746582,23.74598,23.745827,23.77798,23.782871,23.811638,23.918146,23.971214,23.94749,23.846966,23.775663,23.786076,23.7916,23.745014,23.67934,23.592617,23.487602,23.49571,23.530966,23.621115,23.585735,23.485167
